Department Family,Entity,Posted date,Supplier,Transaction Number,()
NHS England,Isle of Wight Clinical Commissioning Group,01/06/2015,NHS BUSINESS SERVICES AUTHORITY,Payables A 2010531 35111102,"32,766.14"
NHS England,Isle of Wight Clinical Commissioning Group,11/06/2015,EARL MOUNTBATTEN HOSPICE,Payables A 2049268 35538660,"197,839.00"
NHS England,Isle of Wight Clinical Commissioning Group,05/06/2015,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Payables A 2028503 35303238,"345,170.00"
NHS England,Isle of Wight Clinical Commissioning Group,05/06/2015,PORTSMOUTH HOSPITALS NHS TRUST,Payables A 2028503 35303238,"291,000.00"
NHS England,Isle of Wight Clinical Commissioning Group,20/06/2015,ISLE OF WIGHT NHS TRUST,Payables A 2064700 35861858,"51,520.47"
NHS England,Isle of Wight Clinical Commissioning Group,05/06/2015,ISLE OF WIGHT NHS TRUST,Payables A 2028503 35303238,"10,386,854.00"
NHS England,Isle of Wight Clinical Commissioning Group,04/06/2015,ISLE OF WIGHT COUNCIL,Payables A 2024542 35255369,"37,807.64"
NHS England,Isle of Wight Clinical Commissioning Group,18/06/2015,ISLE OF WIGHT COUNCIL,Payables A 2061054 35792454,"1,040,559.00"
NHS England,Isle of Wight Clinical Commissioning Group,12/06/2015,LJ ACCOUNTS,Payables A 2050252 35576553,"28,221.44"
NHS England,Isle of Wight Clinical Commissioning Group,22/06/2015,NHS ENGLAND,Payables A 2069071 35929877,"41,163.14"
NHS England,Isle of Wight Clinical Commissioning Group,13/06/2015,NHS SOUTH CSU,Payables A 2051066 35604365,"76,558.00"
NHS England,Isle of Wight Clinical Commissioning Group,13/06/2015,NHS SOUTH CSU,Payables A 2051066 35604365,"74,400.00"
NHS England,Isle of Wight Clinical Commissioning Group,06/06/2015,SALISBURY NHS FOUNDATION TRUST,Payables A 2030100 35335381,"31,263.00"
NHS England,Isle of Wight Clinical Commissioning Group,12/06/2015,LJ ACCOUNTS,Payables A 2050252 35576553,"28,221.44"
NHS England,Isle of Wight Clinical Commissioning Group,22/06/2015,NHS ENGLAND,Payables A 2069071 35929877,"41,163.14"
NHS England,Isle of Wight Clinical Commissioning Group,13/06/2015,NHS SOUTH CSU,Payables A 2051066 35604365,"76,558.00"
NHS England,Isle of Wight Clinical Commissioning Group,13/06/2015,NHS SOUTH CSU,Payables A 2051066 35604365,"74,400.00"
NHS England,Isle of Wight Clinical Commissioning Group,06/06/2015,SALISBURY NHS FOUNDATION TRUST,Payables A 2030100 35335381,"31,263.00"
NHS England,Isle of Wight Clinical Commissioning Group,24/06/2015,AMCARE LTD,Payables A 2071796 36009314,"37,248.10"
NHS England,Isle of Wight Clinical Commissioning Group,26/06/2015,SOUTH WIGHT MEDICAL PRACTICE,Payables A 2074609 36088601,"71,255.15" #to do..
NHS England,Isle of Wight Clinical Commissioning Group,26/06/2015,SOUTH WIGHT MEDICAL PRACTICE,Payables A 2074609 36088601,"131,230.92"
NHS England,Isle of Wight Clinical Commissioning Group,11/06/2015,COLVILLE CARE LTD,Payables A 2049268 35538660,"25,790.90"
