Breed,Sex,England Total,Wales Total,Scotland Total
,,,,
AA,F,"1,436",142,888
AA,M,80,6,53
AAX,F,"3,657",277,"4,429"
AAX,M,150,11,119
AM,M,0,0,0
AN,F,7,0,0
ARX,F,0,0,0
AU,F,17,0,0
AUX,F,1,0,0
AY,F,417,73,293
AY,M,4,0,7
AYX,F,29,5,8
AYX,M,1,0,0
BA,F,546,32,61
BA,M,71,8,12
BAB,F,1,0,1
BAB,M,1,0,0
BABX,F,11,0,0
BAL,F,20,0,0
BAL,M,3,0,0
BALX,F,13,0,0
BALX,M,1,0,0
BAX,,1,0,0
BAX,F,"1,776",222,477
BAX,M,93,10,55
BAZ,F,24,0,2
BAZ,M,5,0,0
BAZX,F,13,1,1
BAZX,M,1,0,0
BB,F,654,178,81
BB,M,195,24,29
BBX,F,"2,401",624,790
BBX,M,279,28,62
BF,,3,1,0
BF,F,"5,594","1,470",687
BF,M,11,1,0
BFX,F,497,143,53
BFX,M,6,0,0
BG,F,162,8,98
BG,M,9,1,4
BGX,F,23,2,30
BGX,M,1,0,0
BH,F,91,34,8
BH,M,3,0,0
BHX,F,33,4,10
BI,F,33,1,4
BI,M,1,0,0
BLG,F,51,8,112
BLGX,F,4,0,24
BLP,F,0,0,0
BLPX,F,1,0,0
BP,F,0,0,0
BR,F,3,1,0
BRX,F,0,0,0
BS,F,37,10,3
BS,M,1,2,0
BSH,F,77,6,24
BSH,M,8,0,0
BSHO,F,5,0,0
BSHX,F,29,1,91
BSX,F,63,20,6
BSX,M,2,0,0
BU,F,112,9,26
BU,M,8,0,0
BW,F,147,12,5
BW,M,11,0,0
BWB,F,0,3,0
BWX,F,33,6,0
BWX,M,0,0,0
BX,F,7,3,2
BX,M,1,0,0
CA,F,4,0,0
CAX,F,9,0,0
CAX,M,1,0,0
CB,F,526,132,266
CB,M,1,0,1
CD,F,39,8,1
CH,F,"2,283",568,282
CH,M,213,90,60
CHI,F,3,0,0
CHIX,F,8,0,1
CHL,F,1,0,0
CHX,,1,0,0
CHX,F,"5,977","1,703","2,540"
CHX,M,323,96,378
DE,F,10,1,0
DE,M,1,0,0
DEV,F,404,5,2
DEV,M,15,0,0
DEVX,F,283,0,16
DEVX,M,4,0,0
DEX,F,648,45,23
DEX,M,47,7,1
DEXX,F,9,5,1
DEXX,M,1,0,0
DG,F,17,0,1
DGX,F,6,0,1
DS,F,114,8,5
DS,M,1,0,0
DSX,F,13,0,2
DV,F,43,1,0
DV,M,6,0,0
DVX,F,57,3,0
DVX,M,17,0,0
DZE,F,1,0,0
DZE,M,1,0,0
FE,F,1,0,0
FEX,F,0,0,0
FR,,1,0,0
FR,F,"9,598","1,952",556
FR,M,616,66,2
FRX,F,424,45,17
FRX,M,131,11,0
GA,F,458,10,509
GA,M,18,0,19
GAS,F,1,0,0
GASX,F,0,0,2
GAX,F,317,6,275
GAX,M,1,0,7
GB,F,1,0,0
GE,F,31,10,0
GE,M,6,2,0
GEX,F,48,11,2
GEX,M,2,3,0
GL,F,78,0,2
GL,M,2,0,0
GLX,F,5,4,13
GU,F,372,18,3
GU,M,1,0,0
GUX,F,32,2,0
H,F,147,42,0
H,M,60,23,0
HE,F,"1,208",232,110
HE,M,68,16,8
HEBL,F,49,19,3
HEBLX,F,3,1,0
HEBRX,F,0,1,0
HER,F,51,17,6
HER,M,2,1,1
HERX,F,133,65,20
HEX,,0,1,0
HEX,F,"6,442","2,149","1,562"
HEX,M,29,14,8
HF,,1,0,0
HF,F,"12,490","2,179","2,054"
HF,M,35,3,393
