Month and Year,Delayed transfer of care acute monthly Plymouth patient numbers,Minimum for all english county local authorities,Average for all english county local authorities,Maximum for all english county local authorities
Sep-10,17,12,47,103
Oct-10,13,6,41,101
Nov-10,11,9,40,72
Dec-10,11,6,36,86
Jan-11,14,9,43,77
Feb-11,11,14,41,77
Mar-11,10,11,38,87
Apr-11,26,13,37,82
May-11,7,11,39,77
Jun-11,31,6,37,77
Jul-11,5,8,39,103
Aug-11,7,10,40,99
Sep-11,9,11,37,88
Oct-11,13,12,38,115
Nov-11,8,9,39,108
Dec-11,5,6,34,109
Jan-12,15,7,41,112
Feb-12,10,14,44,124
No Values given 01/03/2012,,,,
Apr-12,7,4,42,121
May-12,5,13,39,80
Jun-12,11,6,48,103
Jul-12,52,6,42,81
Aug-12,15,5,43,82
Sep-12,16,9,45,93
Oct-12,5,15,45,81
Nov-12,0,10,41,77
Dec-12,9,6,36,92
Jan-13,10,15,47,125
Feb-13,18,9,44,131
Mar-13,69,11,45,132
Apr-13,69,11,45,132
May-13,16,17,47,102
Jun-13,10,10,43,101
Jul-13,24,11,45,112
Aug-13,18,6,44,102
Sep-13,0,10,50,128
Oct-13,26,15,45,114
Nov-13,26,6,47,108
Dec-13,12,7,38,96
Jan-14,21,14,47,120
Feb-14,19,15,47,136
Mar-14,26,10,48,146
Apr-14,20,6,44,129
May-14,12,13,48,129
Jun-14,21,10,48,117
Jul-14,15,6,52,141
Aug-14,15,7,54,154
Sep-14,24,8,59,136
Oct-14,32,17,62,140
Nov-14,18,14,60,140
Dec-14,14,9,52,134
Jan-15,7,15,63,131
Feb-15,7,12,57,132
Mar-15,15,14,54,116
Apr-15,12,7,49,133
May-15,27,9,53,137
Jun-15,24,13,55,140
Jul-15,12,12,56,137
Aug-15,29,12,60,134
Sep-15,21,14,62,162
Oct-15,13,12,64,168
Nov-15,25,25,68,170
Dec-15,22,17,58,140
Jan-16,22,17,68,142
Feb-16,12,19,66,151
Mar-16,16,11,67,176
Apr-16,5,23,74,194
May-16,21,15,72,190
Jun-16,15,21,71,216
Jul-16,19,23,73,175
Aug-16,10,25,76,188
Sep-16,24,19,82,230
Oct-16,29,24,78,227
Nov-16,34,27,78,206
Dec-16,60,24,68,181
Jan-17,47,33,80,198
Feb-17,45,28,78,194
Mar-17,44,22,76,181
