12 months ending:,England New herd incidents per 100 herd years at risk of infection during the year ,Scotland New herd incidents per 100 herd years at risk of infection during the year ,Wales New herd incidents per 100 herd years at risk of infection during the year ,England New herd incidents where OTF status is withdrawn (OTFW) per 100 herd years at risk of infection during the year,Scotland New herd incidents where OTF status is withdrawn (OTFW) per 100 herd years at risk of infection during the year,Wales New herd incidents where OTF status is withdrawn (OTFW) per 100 herd years at risk of infection during the year
Mar-96,1.5,0.3,1.3,0.7,0.1,0.8
Jun-96,1.5,0.3,1.5,0.7,0.1,0.9
Sep-96,1.6,0.3,1.4,0.7,0.1,0.8
Dec-96,1.7,0.3,1.4,0.8,0.1,0.8
Mar-97,1.7,0.3,1.5,0.8,0.1,0.8
Jun-97,1.9,0.4,1.4,0.9,0.1,0.6
Sep-97,2.0,0.5,1.4,1.0,0.1,0.6
Dec-97,2.1,0.5,1.3,1.1,0.1,0.5
Mar-98,2.2,0.6,1.4,1.2,0.1,0.5
Jun-98,2.4,0.5,1.4,1.3,0.1,0.6
Sep-98,2.4,0.4,1.6,1.4,0.1,0.7
Dec-98,2.4,0.5,1.8,1.4,0.1,0.8
Mar-99,2.4,0.4,1.9,1.4,0.1,0.9
Jun-99,2.3,0.3,2.0,1.4,0.1,1.0
Sep-99,2.3,0.3,1.8,1.4,0.1,1.0
Dec-99,2.4,0.2,2.1,1.5,0.1,1.1
Mar-00,2.6,0.3,2.1,1.7,0.1,1.1
Jun-00,2.6,0.4,2.0,1.7,0.1,1.1
Sep-00,2.8,0.3,2.0,1.8,0.0,1.2
Dec-00,3.0,0.3,2.0,2.1,0.0,1.3
Mar-01,3.3,0.3,2.4,2.3,0.0,1.6
Jun-01,3.6,0.3,2.9,2.5,0.0,2.1
Sep-01,3.5,0.3,3.4,2.5,0.0,2.4
Dec-01,4.1,0.4,5.4,3.1,0.0,3.7
Mar-02,4.9,0.5,4.1,3.6,0.1,2.7
Jun-02,4.5,0.6,3.4,3.0,0.2,2.1
Sep-02,4.7,0.6,3.4,3.1,0.1,2.1
Dec-02,4.2,0.5,3.0,2.6,0.2,1.8
Mar-03,3.9,0.6,3.3,2.3,0.2,2.0
Jun-03,4.1,0.6,4.0,2.4,0.2,2.4
Sep-03,4.1,0.6,4.2,2.3,0.2,2.5
Dec-03,4.6,0.6,5.2,2.6,0.2,2.9
Mar-04,5.2,0.6,5.3,3.0,0.2,2.8
Jun-04,5.5,0.5,5.0,3.1,0.2,2.6
Sep-04,5.6,0.6,5.0,3.3,0.2,2.6
Dec-04,5.8,0.6,5.1,3.5,0.2,2.7
Mar-05,6.9,0.6,6.3,4.3,0.2,3.5
Jun-05,7.6,0.6,7.0,5.0,0.2,3.9
Sep-05,8.1,0.5,7.3,5.3,0.2,4.1
Dec-05,8.5,0.5,7.1,5.5,0.2,4.1
Mar-06,7.0,0.4,5.1,4.5,0.2,3.0
Jun-06,6.1,0.4,4.4,3.9,0.1,2.8
Sep-06,5.9,0.4,4.4,3.9,0.2,2.8
Dec-06,5.5,0.4,4.8,3.6,0.2,3.0
Mar-07,5.7,0.4,6.3,3.6,0.2,3.6
Jun-07,6.0,0.5,7.4,3.8,0.2,3.9
Sep-07,6.2,0.5,8.0,3.9,0.2,4.1
Dec-07,6.9,0.5,8.3,4.4,0.2,4.3
Mar-08,7.6,0.4,8.6,5.1,0.1,4.7
Jun-08,8.3,0.4,9.3,5.6,0.1,5.1
Sep-08,8.8,0.4,9.8,5.8,0.1,5.3
Dec-08,9.3,0.4,9.7,6.0,0.1,5.0
Mar-09,9.8,0.6,8.6,6.1,0.2,4.1
Jun-09,9.8,0.6,7.9,6.2,0.2,3.7
Sep-09,9.4,0.5,7.3,6.2,0.1,3.4
Dec-09,9.1,0.5,7.3,6.1,0.1,3.4
Mar-10,8.4,0.5,7.9,5.8,0.1,3.9
Jun-10,8.0,0.5,8.5,5.5,0.1,4.1
Sep-10,7.9,0.5,8.6,5.4,0.1,4.2
Dec-10,7.7,0.4,8.9,5.3,0.1,4.4
Mar-11,8.0,0.4,8.6,5.4,0.1,4.5
Jun-11,8.3,0.4,8.8,5.7,0.1,5.1
Sep-11,8.6,0.4,9.2,6.0,0.1,5.6
Dec-11,9.1,0.4,9.3,6.4,0.1,6.2
Mar-12,9.3,0.4,9.7,6.7,0.1,6.7
Jun-12,9.2,0.6,10.0,6.7,0.1,7.1
Sep-12,9.4,0.6,10.0,6.9,0.2,7.3
Dec-12,9.7,0.7,9.8,7.1,0.2,7.4
Mar-13,10.3,0.6,10.0,7.6,0.2,7.5
Jun-13,10.3,0.5,9.3,7.6,0.1,7.1
Sep-13,10.1,0.4,8.8,7.4,0.1,6.7
Dec-13,9.7,0.4,8.3,7.1,0.1,6.5
Mar-14,9.0,0.5,8.0,6.5,0.2,6.5
Jun-14,8.7,0.5,7.8,6.3,0.2,6.2
Sep-14,8.7,0.5,7.8,6.4,0.2,6.4
Dec-14,8.4,0.6,8.1,6.2,0.2,6.8
Mar-15,8.7,0.5,8.3,6.5,0.1,6.9
Jun-15,8.9,0.5,8.5,6.7,0.1,7.2
Sep-15,9.0,0.6,8.4,6.7,0.2,7.0
###Herds which were previously OTF but either had cattle that reacted to a tuberculin test or had a tuberculous animal disclosed by routine meat inspection at slaughter. During the period shown divided by the amount of time herds tested during that period were unrestricted and at risk of infection####,,,,,,
###New herd incidents where OTF status was withdrawn from the herd. Divided by the amount of time herds tested during that period were unrestricted and at risk of infection###,,,,,,
