Breed,Number of Calves Registered,,,,,,,,,,,,Total
,0,1,2,3,4,5,6,7,8,9,10,10+,
 AA ,331,207,134,84,108,103,176,281,401,475,366,258,2924
 AAX ,1075,636,371,267,281,373,544,889,1406,1794,1266,885,9787
 AN ,5,4,0,0,0,0,0,0,0,0,0,0,9
 ARX ,1,0,0,0,0,0,0,0,0,0,0,0,1
 AU ,0,1,0,0,1,1,1,4,10,0,0,0,18
 AUX ,0,0,0,0,0,0,0,0,0,0,1,0,1
 AY ,335,238,145,110,83,81,87,83,78,36,16,9,1301
 AYX ,14,8,6,5,3,3,4,5,6,2,4,2,62
 BA ,115,59,34,23,21,41,76,104,98,101,82,43,797
 BAB ,0,0,0,0,0,0,0,1,0,0,0,1,2
 BABX ,0,1,0,0,0,0,0,1,4,1,0,4,11
 BAL ,5,4,5,1,1,1,1,2,1,0,1,0,22
 BALX ,4,3,0,1,2,0,0,0,1,2,1,1,15
 BAX ,493,106,63,44,65,73,125,221,387,498,384,310,2769
 BAZ ,1,2,0,0,1,0,0,5,5,7,5,1,27
 BAZX ,2,2,0,0,0,0,2,0,4,4,0,3,17
 BB ,421,84,47,40,38,45,71,98,120,101,66,26,1157
 BBX ,862,216,154,149,136,166,252,410,585,677,535,339,4481
 BF ,2239,2281,1225,873,738,829,917,1032,1000,747,420,159,12460
 BFX ,221,208,105,97,85,78,97,93,71,63,24,19,1161
 BG ,45,33,15,15,20,32,23,44,46,45,17,7,342
 BGX ,3,9,5,2,1,2,2,10,11,7,7,7,66
 BH ,34,60,31,17,11,24,14,19,7,6,4,3,230
 BHX ,16,24,12,6,5,6,5,4,2,1,1,0,82
 BI ,13,8,0,2,1,4,2,3,1,3,2,0,39
 BLG ,9,24,12,7,6,10,10,17,29,59,32,10,225
 BLGX ,3,4,3,2,1,1,2,3,6,4,2,2,33
 BLP ,0,0,0,0,0,0,0,0,1,0,0,0,1
 BLPX ,0,0,0,0,0,0,0,0,0,1,0,0,1
 BP ,1,0,0,0,0,0,0,0,0,0,0,0,1
 BR ,10,0,1,1,0,0,1,0,0,0,0,0,13
 BRX ,0,0,1,0,0,0,0,0,0,0,0,0,1
 BS ,9,11,8,11,6,5,8,8,8,3,3,5,85
 BSH ,4,8,7,0,5,6,9,17,18,28,21,6,129
 BSHO ,0,0,0,0,0,0,0,0,0,4,1,0,5
