objectid,ttwa01cd,ttwa01cdo,ttwa01nm,st_areashape,st_lengthshape
1, ,064,Derry,1040619411.50134,210945.504660653
2, ,017,Belfast,2690532967.24756,661908.748554232
3, ,081,Enniskillen,1958761320.18527,316386.292996222
4, ,055,Coleraine,1084515383.46228,253448.508262828
5, ,075,Dungannon,788522541.606692,218893.669879504
6, ,149,Mid-Ulster,1205738167.62525,198271.43540351
7, ,209,Strabane,797276536.435239,220706.394171098
8, ,007,Ballymena,1059411920.1975,234672.438682558
9, ,057,Craigavon,1082849954.62321,201788.802613878
10, ,168,Omagh,1132713205.12266,206114.554012474
11, ,159,Newry,1326872140.55785,270676.270845196
12,E30000001,003,Andover,514262680.362936,167246.927579777
13,E30000002,004,Ashford,573468797.48942,159935.765586391
14,E30000003,008,Banbury,903816669.362239,253461.513724537
15,E30000004,011,Barnsley,342479272.417722,130083.81891655
16,E30000005,012,Barnstaple,967970745.570492,304380.039237878
17,E30000006,013,Barrow-in-Furness,281289739.958596,191814.8687395
18,E30000007,014,Basingstoke,467601056.800785,157197.40209205
19,E30000008,015,Bath,562142523.297327,200038.84893291
20,E30000009,016,Bedford,580896405.950251,151674.777503131
21,E30000010,019,Bideford,611244667.484857,259110.475212245
22,E30000011,020,Birmingham,1049800924.20788,287010.463250598
23,E30000012,021,Bishop Auckland & Barnard Castle,1559276381.50167,302155.607709064
24,E30000013,022,Blackburn,674150767.316063,217132.832271586
25,E30000014,023,Blackpool,225810221.687966,161460.375435761
26,E30000015,024,Bolton,172945604.733851,97890.3437848017
27,E30000016,025,Boston,511579575.087598,173014.086559918
28,E30000017,026,Bournemouth,426147317.350801,186311.114233889
29,E30000018,027,Bradford,343928267.912094,120724.373404426
30,E30000019,030,Bridgwater,443004149.784373,199095.685252278
31,E30000020,031,Bridlington & Driffield,577058645.166959,157302.518515261
32,E30000021,032,Bridport & Lyme Regis,298964402.776899,113465.449218012
33,E30000022,033,Brighton,403148719.100337,194911.429036253
34,E30000023,034,Bristol,1280075734.68258,312025.839754706
35,E30000024,035,Bude & Holsworthy,608319444.060896,255604.151977483
36,E30000025,036,"Burnley, Nelson & Colne",300614035.045938,94453.3500478679
37,E30000026,037,Burton upon Trent,490010927.136977,203689.605471273
38,E30000027,038,Bury St Edmunds,642412337.920226,194950.523032251
39,E30000028,039,Buxton,537699989.951881,204604.17406798
40,E30000029,040,Calderdale,363920630.09548,105970.240012285
41,E30000030,041,Cambridge,1877001139.78395,376983.942102284
42,E30000031,043,Canterbury,558618644.81957,214007.461615072
43,E30000032,048,Chelmsford & Braintree,1312723511.55701,447848.825498867
44,E30000033,049,Cheltenham & Evesham,1209845472.46022,284780.604411938
45,E30000034,051,Chesterfield,259103176.662043,104724.363379074
46,E30000035,052,Chichester & Bognor Regis,655734103.051344,319087.137978301
47,E30000036,053,Clacton,132248275.788689,135974.400855323
48,E30000037,054,Colchester,538499884.626261,279002.052021277
49,E30000038,056,Coventry,703705506.930088,197543.33728326
50,E30000039,058,Craven,1178803273.51319,198206.922715985
51,E30000040,059,Crawley,1624675121.15359,386339.007864476
52,E30000041,060,Crewe & Northwich,827780919.641423,206947.534514198
53,E30000042,061,Cromer & Sheringham,462712288.205431,231166.216150374
54,E30000043,062,Darlington,339018614.280276,143161.987905234
55,E30000044,063,Derby,730136778.098858,254840.588781574
56,E30000045,066,Doncaster,567972033.21321,169156.333582903
57,E30000046,067,Dorchester & Weymouth,719937797.620575,227815.612977074
58,E30000047,069,Dover,198415746.652234,87991.4084454702
59,E30000048,070,Dudley & Sandwell,231793085.486737,119561.292620734
60,E30000049,077,Eastbourne,437811702.520521,160832.608157177
61,E30000050,082,Exeter & Newton Abbot,1424860466.98406,421772.444607962
62,E30000051,084,Falmouth & Helston,354275232.87337,189613.45486391
63,E30000052,085,Folkestone,356699967.520068,146462.75904105
