DAM BREED CODE,DAM BREED,OCT,NOV,DEC,TOTAL
AA,ABERDEEN ANGUS,"1,451","1,170",933,"3,554"
AAX,ABERDEEN ANGUS X,"4,697","3,790","2,816","11,303"
ALL,AUSTRALIAN LOWLINE,1,,,1
AM,ARMORICAINE,1,,,1
AR,ANGLER ROTVIEH,6,2,4,12
ARX,ANGLER ROTVIEH X,3,,,3
AU,AUBRAC,,,1,1
AY,AYRSHIRE,"1,912","1,680","1,535","5,127"
AYX,AYRSHIRE X,373,346,284,"1,003"
BA,BLONDE D'AQUITAINE,248,183,159,590
BABX,BLONDE D'AQU(BLACK)X,4,1,,5
BAL,BLUE ALBION,4,7,1,12
BALX,BLUE ALBION X,8,16,3,27
BAR,BLONDE D'AQU (RED),1,,,1
BARX,BLONDE D'AQU (RED) X,3,3,5,11
BAWX,BLONDE D'AQU(WHITE)X,3,,,3
BAX,BLONDE D'AQUITAINE X,"1,059",801,814,"2,674"
BAZ,BAZADAISE,26,31,29,86
BAZX,BAZADAISE X,54,52,51,157
BB,BELGIAN BLUE,257,230,229,716
BBX,BELGIAN BLUE X,"2,788","2,416","1,909","7,113"
BF,BRITISH FRIESIAN,"14,953","13,165","11,658","39,776"
BFX,BRITISH FRIESIAN X,"2,845","2,192","1,855","6,892"
BG,BELTED GALLOWAY,205,178,156,539
BGX,BELTED GALLOWAY X,37,32,34,103
BH,BRITISH HOLSTEIN,587,583,488,"1,658"
BHX,BRITISH HOLSTEIN X,139,131,125,395
BI,BISON,5,,,5
BLG,BLUE GREY,103,70,51,224
BLGX,BLUE GREY X,10,6,2,18
BR,BRAHMAN,,,1,1
BRB,BRITISH BLUE,165,112,128,405
BRBX,BRITISH BLUE X,"1,285","1,195","1,079","3,559"
BRX,BRAHMAN X,2,,,2
BS,BROWN SWISS,338,306,260,904
BSH,BEEF SHORTHORN,264,205,160,629
BSHX,BEEF SHORTHORN X,357,297,175,829
BSX,BROWN SWISS X,770,650,587,"2,007"
