Age At Death (Months),Female,Male,Total
0,306,"6,698","7,004"
1,69,"1,206","1,275"
2,25,106,131
3,44,41,85
4,58,55,113
5,23,17,40
6,41,28,69
7,37,54,91
8,52,51,103
9,56,79,135
10,62,149,211
11,108,323,431
12,164,725,889
13,246,"1,318","1,564"
14,443,"1,708","2,151"
15,476,"1,976","2,452"
16,645,"1,510","2,155"
17,883,"1,465","2,348"
18,"1,214","1,502","2,716"
19,"1,680","1,804","3,484"
20,"2,137","2,166","4,303"
21,"2,566","2,681","5,247"
22,"3,003","3,253","6,256"
23,"3,509","3,957","7,466"
24,"3,947","4,776","8,723"
25,"4,210","5,638","9,848"
26,"4,761","6,725","11,486"
27,"5,280","7,826","13,106"
28,"6,076","10,177","16,253"
29,"10,994","23,404","34,398"
30,833,"1,199","2,032"
31,566,450,"1,016"
32,581,464,"1,045"
33,562,429,991
34,547,404,951
35,556,300,856
36,548,245,793
37,617,224,841
38,485,242,727
39,542,184,726
40,516,164,680
41,562,151,713
42,479,120,599
43,535,83,618
44,525,92,617
45,538,123,661
46,475,103,578
47,469,76,545
48,487,64,551
49,522,56,578
50,511,65,576
51,482,60,542
52,533,56,589
53,585,40,625
54,545,43,588
55,503,48,551
56,522,22,544
57,522,31,553
58,492,26,518
59,473,28,501
60,470,30,500
61,543,17,560
62,526,34,560
63,483,13,496
64,520,13,533
65,500,26,526
66,479,13,492
67,472,25,497
68,494,22,516
69,527,18,545
70,486,12,498
71,532,20,552
72,527,14,541
73,522,12,534
74,480,14,494
75,522,8,530
76,502,12,514
77,503,13,516
78,435,17,452
79,483,18,501
80,414,12,426
81,442,13,455
82,443,13,456
83,455,10,465
84,422,15,437
85,461,7,468
86,413,13,426
87,443,8,451
88,403,18,421
89,419,15,434
90,460,12,472
91,410,9,419
92,418,9,427
93,386,10,396
94,397,11,408
95,387,15,402
96,460,13,473
97,429,5,434
98,453,7,460
99,462,8,470
100,478,13,491
101,461,10,471
102,441,9,450
103,440,5,445
104,397,7,404
105,426,5,431
106,435,11,446
107,438,8,446
108,431,5,436
109,434,8,442
110,418,9,427
111,426,7,433
112,410,3,413
113,426,6,432
114,366,7,373
115,372,3,375
116,362,3,365
117,396,9,405
118,407,12,419
119,360,6,366
120,377,9,386
121,368,5,373
122,377,5,382
123,350,2,352
124,340,4,344
125,337,4,341
126,318,10,328
127,320,5,325
128,321,2,323
129,324,3,327
130,298,3,301
131,315,5,320
132,315,3,318
133,290,3,293
134,285,2,287
135,304,5,309
136,291,7,298
137,259,3,262
138,215,3,218
139,182,2,184
140,166,1,167
141,163,1,164
142,122,3,125
143,109, -   ,109
144,92,1,93
145,76, -   ,76
146,56, -   ,56
147,29, -   ,29
148,8, -   ,8
Total,"103,142","97,821","200,963"
