OBJECTID,TERRIER_NO,WARDS
125776,3202,00FFNG
125777,,00FFNS
125784,2294,00FFNW
125818,8120,00FFPD
125819,1825,00FFNP
125820,3392,00FFNP
125821,0142,00FFNP
125839,0277,00FFPD
125844,3516,00FFNY
125850,2686,00FFNP
125851,2879,00FFNP
125860,6285,00FFNU
125863,0225,00FFNY
125865,8015B,00FFNX
125866,0992,00FFNP
125893,0475,00FFNU
125897,0146,00FFNT
125898,0224,00FFNY
125901,9592,00FFNL
125904,0333,00FFNY
125908,1103,00FFNS
125934,9459,00FFNX
125945,0191,00FFNS
125948,2589,00FFNJ
125949,2845,00FFNJ
125953,1887,00FFNS
125958,2209,00FFNU
125966,3199,00FFPD
125967,2909,00FFNS
125968,3199C,00FFPD
125970,7988,00FFPA
125971,0402,00FFNU
125988,9466,00FFNU
125998,0447,00FFNU
126000,0356,00FFNY
126014,8016,00FFNX
126020,0519,00FFNL
126026,2499,00FFNM
126031,8005,00FFNQ
126062,1836,00FFNP
126063,0156,00FFNU
126064,0221,00FFNY
126066,8033,00FFNQ
126067,1049,00FFNW
126068,3259,00FFNP
126069,9539,00FFNS
126085,7779,00FFNG
126102,2089,00FFNS
126107,7939,00FFPE
126121,0256A,00FFNY
126129,0691,00FFNP
126130,3044,00FFNM
126136,0687,Across Ward Boundaries
126151,1914,00FFNS
126153,2722B,00FFNS
126156,3125,00FFNU
126160,3083,00FFNS
126162,3057,00FFNJ
126163,1498B,00FFNM
126166,3083C,00FFNS
126173,2466,00FFNP
126175,8054,00FFxx1
126177,3199,00FFPD
126180,0186,00FFNP
126181,0186,00FFNP
126182,0186,00FFNP
126190,2798,00FFNP
126193,9596,00FFxx1
126194,7940,00FFxx2
126198,3084,00FFNS
126208,0326,00FFNS
126209,9532,00FFNL
126212,3076,00FFNS
126215,2618,00FFNL
126218,9632,00FFNP
126221,3085,00FFNS
126239,9286,00FFxx4
126245,2854,00FFNJ
126246,2992,00FFNJ
126249,7952,00FFNS
126252,3382,00FFNP
126254,3112,Across Ward Boundaries
126255,7993,00FFxx4
126257,9554,00FFxx3
126258,9593,00FFxx4
126264,9618,00FFxx4
126273,3083,00FFNS
126276,9541,00FFPD
126279,3137,00FFNM
126280,0020,00FFNL
126282,9585,00FFPA
126286,9549,00FFPA
126288,9549,00FFPA
126289,9549,00FFPA
126290,2313C,00FFNW
126307,2980,00FFNY
126308,2478,00FFNM
126309,3385,00FFNP
126319,7929,00FFPC
126343,9536,00FFNX
126347,1324,00FFNU
126348,1052,00FFNM
126352,8254,00FFNM
126353,3050,00FFNU
126354,7951,00FFNX
126359,1893,00FFNY
126364,8050,00FFNH
126369,8103,00FFPA
126373,0064,00FFNJ
126374,0245,00FFNJ
126377,2894,00FFNL
126383,1009,00FFPD
126384,2319,00FFNJ
126393,0168,00FFNP
126397,3481,00FFNS
126404,1183A,00FFNU
126418,2984,00FFNP
126419,2728,00FFNL
126423,1264,00FFNS
126438,3161,00FFNL
126440,0481D,00FFNL
126445,9581,00FFPD
126463,7930,00FFNQ
126491,9527,00FFNY
126496,7231,00FFNM
126499,2808,00FFNL
126501,8087,00FFPE
126512,0354,00FFNS
126514,8089,00FFPE
126515,3110,00FFNJ
126516,9459,00FFNX
126517,9213,00FFNL
126520,1827,00FFNU
126522,0384,00FFNU
126530,9538,00FFPE
126549,9584,00FFNM
126572,7779,00FFNG
126580,0469,00FFNY
126583,2604,00FFNY
126585,8002,00FFNQ
126586,2860,00FFNU
126603,3121,00FFNP
126605,3190,00FFNG
126606,7979,00FFPA
126607,1886,00FFNS
126629,1888,00FFNS
126647,2098,00FFNM
126676,0261,00FFNL
126678,2567,00FFNL
126681,3332,00FFPD
126683,4869A,00FFNP
126684,0428,00FFNP
126687,2335,00FFNM
126690,3090,00FFPD
126692,0108A,00FFNP
126697,0534,00FFNH
126698,2154,00FFNS
126699,2608,00FFNP
126700,3390,00FFNP
126709,1551,00FFPD
126710,3246,00FFNY
126711,1951,00FFNY
126712,1545,00FFNU
126713,1024,00FFNU
126714,0470,00FFPD
126717,3088,00FFNP
126718,1775,00FFNS
126723,8022,00FFPC
126725,2935,00FFNY
126730,2742,00FFNJ
126739,2608,00FFNP
126740,2613,00FFNP
126741,3057A,00FFNJ
126743,8015A,00FFNX
126745,2626,00FFNS
126746,2529,00FFNP
126748,3114,00FFNP
126757,8077,00FFxx2
126758,0186,00FFNP
126759,8076,00FFxx2
126760,3106,00FFNP
126761,8986,00FFxx1
126762,8078,00FFxx2
126763,0347,00FFNP
126767,9622,00FFNW
126773,1496,00FFNY
126784,3201,00FFNS
126787,0522,00FFPD
126796,2500,00FFNU
126807,0326B,00FFNM
126814,0186,00FFxx4
126815,0952,00FFNY
126823,9553,00FFNL
126825,8051,00FFxx3
126826,8053,00FFxx3
126827,8052,00FFxx3
126828,1935,00FFNS
126830,4743,00FFNP
126831,0347,00FFNS
126836,2313,00FFNW
126838,2680,00FFPD
126845,9549,00FFPA
126846,9630,00FFNP
126847,2461,00FFNW
126848,2735,00FFNP
126849,9584,00FFNM
126852,0575,00FFNY
126853,9624,00FFxx3
126861,8000,00FFNQ
126862,6399,00FFNY
126864,2811,00FFPD
126866,0189,00FFNY
126872,2639,00FFNU
126874,3385,00FFNP
126875,2800,00FFNU
126916,2986,00FFNM
126917,0834,00FFNY
126919,9469,00FFNP
126931,0412,00FFNY
126945,7998,00FFNX
126948,0572,00FFNY
126951,3177,00FFPD
126953,0277A,00FFPD
126956,2172,00FFNY
126966,0188,00FFNS
126969,0992,00FFNP
126970,9544,00FFNL
126971,0480C,00FFNL
126972,3785,00FFNL
126994,9550,00FFNH
126995,9558,00FFNP
126998,2811,00FFNL
127003,2522,00FFNS
127005,6283,00FFNY
127008,3046,00FFNS
127018,0242,00FFNY
127031,9594,00FFPA
127052,8081,00FFPE
127053,2581,00FFPD
127055,2473C,00FFNS
127058,2514,00FFPD
127059,0355,00FFNY
127060,1905,00FFNS
127064,0512,00FFNP
127066,1534,00FFNM
127067,0057,00FFNP
127068,3408,00FFNS
127069,1534,00FFNM
127071,9515,00FFNU
127076,2712,00FFNU
127079,3287,00FFNP
127087,0017,00FFPA
127105,0326,00FFNM
127112,7969,00FFNQ
127118,0482,00FFNP
127121,8086,00FFPE
127122,0503,00FFNY
127139,7231,00FFNM
127140,3171,00FFNG
127143,1894,00FFNY
127146,2531,00FFPD
127147,3250,00FFNY
127179,0326,00FFNP
127180,1805,00FFNY
127182,0326A,00FFNM
127183,9536,00FFNQ
127228,0661,00FFNY
127234,1841,00FFNY
127235,0456,00FFPD
127237,0186,00FFNP
127239,9602,00FFNX
127245,1500A,00FFNP
127247,2583,00FFNM
127252,2309,00FFNW
127253,0941,00FFNP
127254,3284,00FFNP
127275,1951,00FFNY
127276,2575,00FFNG
127289,9475,00FFNJ
127290,9484,00FFNU
127293,9605,00FFNM
127294,2282,00FFNM
127295,2406,00FFNY
127296,2573,00FFNP
127304,1176,00FFNY
127307,2089,00FFNS
127309,9301,00FFxx1
