From,To,Ticket Sales
05/01/2016,12/01/2016,1102
12/01/2016,19/01/2016,1343
19/01/2016,26/01/2016,982
26/01/2016,02/02/2016,756
02/02/2016,09/02/2016,930
09/02/2016,16/02/2016,1059
16/02/2016,23/02/2016,788
23/02/2016,01/03/2016,406
01/03/2016,08/03/2016,657
08/03/2016,15/03/2016,538
15/03/2016,22/03/2016,669
22/03/2016,29/03/2016,357
29/03/2016,05/04/2016,544
05/04/2016,12/04/2016,492
12/04/2016,19/04/2016,645
19/04/2016,26/04/2016,509
26/04/2016,03/05/2016,1212
03/05/2016,10/05/2016,458
10/05/2016,17/05/2016,1099
17/05/2016,24/05/2016,683
24/05/2016,31/05/2016,962
31/05/2016,07/06/2016,664
07/06/2016,15/06/2016,1044
15/06/2016,22/06/2016,1014
22/06/2016,29/06/2016,715
29/06/2016,06/07/2016,665
06/07/2016,13/07/2016,699
13/07/2016,20/07/2016,555
20/07/2016,27/07/2016,538
27/07/2016,04/08/2016,727
04/08/2016,10/08/2016,324
10/08/2016,17/08/2016,673
17/08/2016,24/08/2016,749
24/08/2016,31/08/2016,485
31/08/2016,09/09/2016,1778
09/09/2016,14/09/2016,783
14/09/2016,21/09/2016,973
21/09/2016,27/09/2016,933
27/09/2016,03/10/2016,
,,
,,
,,
,,
,,
,,
,,

