a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2016,1,1,1,1,2,3,3, , ,8, , ,8
2016,2,2,1,1,2,5,3, , ,8, , ,8
2016,3,1,1,1,1,5,2,1,1,8,1, ,8
2016,4,2,1,1,1,6,3, , ,8, , ,8
2016,4,2,2,3,1,4,3, , ,8, , ,8
2016,5,1,1,1,2,6,3, , ,8, , ,8
2016,6,1,1,1,2,5,3, , ,8, , ,8
2016,6,1,2,3,1,5,3, , ,8, , ,8
2016,6,2,3,1,1,3,3, , ,8, , ,8
2016,7,1,1,4,2,3,3, , ,8, , ,8
2016,7,1,2,3,1,1,3, , ,8, , ,8
2016,8,1,1,1,1,6,3, , ,8, , ,18
2016,9,1,1,4,1,3,3, , ,8, , ,18
2016,9,1,2,4,2,4,3, , ,8, , ,18
2016,10,1,1,1,1,3,2,1,1,8,1, ,8
2016,10,2,2,1,2,3,3,1,1,8,1, ,8
2016,10,2,3,3,1,3,2,1,1,8,1, ,8
2016,10,3,4,1,1,5,3,1,1,8,1, ,8
2016,10,3,5,4,2,1,3,1,1,8,1, ,8
2016,10,3,6,4,2,1,3,1,1,8,1, ,8
2016,10,3,7,4,1,1,3,1,1,8,1, ,8
2016,11,1,1,1,2,8,2,1,1,8,1, ,8
2016,11,2,2,1,1,5,3,1,1,8,1, ,8
2016,12,1,1,1,1,8,3, , ,8, , ,8
2016,13,1,1,1,2,8,3, , ,8, , ,8
2016,14,1,1,3,1,3,3, , ,8, , ,8
2016,15,2,1,1,2,4,3, , ,8, , ,8
2016,15,2,2,4,1,4,3, , ,8, , ,8
2016,16,1,1,4,2,3,3, , ,8, , ,8
2016,17,1,1,1,1,3,3, , ,8, , ,8
2016,18,2,1,1,1,4,3, , ,8, , ,8
2016,18,2,2,3,1,4,3, , ,8, , ,8
2016,19,1,1,1,1,4,3, , ,8, , ,15
2016,20,0,1,5,2,8,3, , ,8, , , 
2016,21,1,1,1,1,6,3, , ,8, , ,8
2016,22,1,1,1,2,6,3, , ,8, , ,8
2016,23,1,1,1,2,5,3, , ,8, , ,8
2016,23,2,2,1,1,6,3, , ,8, , ,8
2016,24,1,1,1,2,8,3, , ,8, , ,8
2016,25,1,1,4,2,6,3, , ,8, , ,8
2016,26,1,1,3,1,3,3, , ,8, , ,8
2016,27,1,1,1,2,4,3, , ,8, , ,8
2016,27,1,2,4,2,2,3, , ,8, , ,8
2016,27,2,3,1,1,5,3, , ,8, , ,8
2016,28,1,1,1,1,6,3, , ,8, , ,8
2016,29,1,1,1,1,7,2,1,1,8,1, ,8
2016,30,1,1,1,2,3,3, , ,8, , ,8
2016,31,0,1,5,1,3,3, , ,8, , , 
2016,31,1,2,6,1,5,3, , ,8, , ,4
2016,32,1,1,1,1,5,3, , ,8, , ,8
2016,33,1,1,1,2,7,3, , ,8, , ,8
2016,33,2,2,1,2,6,3, , ,8, , ,8
2016,33,2,3,3,1,3,3, , ,8, , ,8
2016,34,2,1,1,1,4,3, , ,8, , ,8
2016,34,2,2,3,2,4,3, , ,8, , ,8
2016,34,4,3,1,1,6,3, , ,8, , ,8
2016,35,2,1,1,2,8,1,1,1,8,1, ,8
2016,35,1,2,1,1,4,3,1,1,8,1, ,8
2016,36,2,1,1,1,3,3, , ,8, , ,8
2016,37,1,1,3,2,5,3, , ,8, , ,8
2016,37,1,2,4,2,2,3, , ,7, , ,8
2016,38,1,1,6,1,9,3, , ,8, , ,5
2016,39,2,1,1,1,4,3, , ,8, , ,8
2016,39,3,2,1,1,4,3, , ,8, , ,8
2016,39,4,3,1,2,3,3, , ,8, , ,8
2016,39,4,4,3,2,2,3, , ,8, , ,8
2016,40,2,1,1,1,7,3, , ,8, , ,8
