Diffusion Tube,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,No2 (The Bias correct mean)
LV-SAA,2018,46,43,42,38,30,30,25,32,36,32,44,45,30
LV-SCA,2018,81,74,65,64,29,38,32,63,72,56,50,73,46
LV-AT,2018,75,73,76,52,56,36,57,47,50,62,66,59,47
LV-62W,2018,65,66,60,59,47,34,37,42,44,53,44,54,40
LV-62E,2018,58,65,56,53,44,18,35,48,42,40,52,55,38
LV-LEE,2018,40,52,43,34,33,27,29,37,39,39,38,45,30
LV-BRD,2018,40,45,37,32,28,27,21,29,31,34,44,46,28
LV-NBN,2018,93,118,89,76,77,57,91,72,71,64,76,78,64
LV-NBS,2018,63,64,57,28,54,44,61,56,59,59,60,61,44
LV-NBX,2018,67,62,50,35,49,37,45,49,48,48,42,59,39
LV-EWB,2018,47,41,44,37,28,14,26,25,26,29,47,44,27
NB-NB1,2018,54,65,60,47,48,35,44,51,54,49,55,62,42
NB-GR,2018,82,89,68,65,70,55,49,53,65,64,67,66,53
NB-GL,2018,77,64,67,66,61,53,50,74,61,71,74,69,52
SC5,2018,42,58,,60,58,,52,38,40,45,42,53,39
HH-TC,2018,51,51,53,46,40,36,38,30,41,39,51,56,35
HH-LB,2018,57,58,58,38,54,44,34,36,42,44,44,,37
HH-LT,2018,73,55,61,60,53,49,50,59,,65,63,76,48
HH1,2018,56,57,50,48,42,37,48,45,42,37,53,56,38
WR2,2018,61,62,49,40,27,33,41,39,43,37,57,54,36
BH3,2018,72,71,55,46,49,43,,49,43,48,48,57,42
BE4,2018,66,66,51,63,53,42,60,56,56,53,47,69,45
BE2,2018,60,54,49,50,38,34,35,40,42,35,54,61,37
HXR1,2018,64,65,53,67,70,56,65,66,61,52,53,63,49
CL1,2018,46,52,41,36,38,39,41,33,37,38,43,46,33
HTAH,2018,38,37,33,46,46,35,32,37,39,32,42,44,31
AT-BR,2018,48,46,41,39,36,27,29,38,33,38,36,43,30
AT-MR,2018,44,43,39,37,31,19,30,,34,31,24,41,27
AT-MR2,2018,41,45,52,39,32,17,37,40,42,41,42,47,32
AQC1,2018,46,39,36,47,54,,39,37,46,50,52,50,36
AQC2,2018,46,36,37,56,54,30,41,36,48,51,40,63,36
AQC3,2018,42,37,37,59,56,23,,35,50,46,49,58,36
CRH1,2018,79,68,75,71,66,50,71,57,61,62,47,67,52
AQ20,2018,36,38,35,28,30,26,28,23,25,27,32,36,24
AQ21,2018,66,64,51,56,50,39,61,57,53,50,,71,45
HB6,2018,45,48,46,40,37,34,40,34,32,37,24,42,31
HQ1,2018,69,71,57,68,56,47,56,54,55,51,41,64,46
HQ9,2018,60,59,53,48,46,39,46,38,40,45,50,55,39
LF1,2018,65,59,64,50,58,42,49,43,39,44,53,52,41
LF2,2018,49,58,46,42,40,31,40,37,34,41,41,45,34
SB1,2018,63,72,62,59,62,52,52,48,54,52,62,51,46
SB3,2018,59,68,65,60,60,43,53,38,37,46,63,48,43
SB15,2018,8,61,53,52,41,35,39,38,35,43,51,54,34
SB16,2018,50,67,60,48,54,40,47,40,39,44,57,51,40
SB18,2018,,,,,,,,,,,,,
SB20,2018,,,,,,,,,,,,,
SB21,2018,,,,,,,,,,,,,
SB22,2018,60,57,60,55,57,49,54,40,46,48,60,82,45
BS1 HB,2018,57,60,53,51,36,40,41,33,33,41,54,50,37
WV-SR1,2018,56,58,54,48,42,33,45,42,46,37,49,60,38
WV-SR2,2018,47,50,52,37,36,30,35,27,29,33,40,48,31
NB-RB,2018,40,38,37,31,18,23,,,,,,,25
NB-SJ,2018,40,39,40,27,34,30,,,,,,,28
MY01,2018,,,,,,61,61,56,57,56,67,59,48
MY02,2018,,,,,,19,25,25,22,25,34,38,21
MY03,2018,,,,,,43,47,46,38,43,65,54,38
MY-04,2018,,,,,,,,26,34,33,31,43,27
MY-05,2018,,,,,,,,33,37,29,43,47,30
CR,2018,,,,,,,29,29,,,,,23
PSN,2018,,,,,,,29,29,,,,,23
