LAU212CD,LAU212NM,FID
UKM2101001,Kirriemuir West,1
UKM2101002,Kirriemuir East,2
UKM2101003,Brechin West,3
UKM2101004,Brechin North Esk,4
UKM2101005,Westfield and Dean,5
UKM2101006,Forfar West,6
UKM2101007,Forfar Central,7
UKM2101008,Forfar East,8
UKM2101009,Brechin South Esk,9
UKM2101010,Montrose Ferryden,10
UKM2101011,Montrose Central,11
UKM2101012,Montrose West,12
UKM2101013,Montrose Hillside,13
UKM2101014,Forfar South,14
UKM2101015,Letham and Friockheim,15
UKM2101016,Sidlaw West,16
UKM2101017,Sidlaw East and Ashludie,17
UKM2101018,Monifieth West,18
UKM2101019,Monifieth Central,19
UKM2101020,Carnoustie West,20
UKM2101021,Carnoustie Central,21
UKM2101022,Carnoustie East,22
UKM2101023,Arbirlot and Hospitalfield,23
UKM2101024,Keptie,24
UKM2101025,Arbroath North,25
UKM2101026,Brothock,26
UKM2101027,Hayshead and Lunan,27
UKM2101028,Harbour,28
UKM2101029,Cliffburn,29
UKM2102001,Ninewells,30
UKM2102002,Camperdown,31
UKM2102003,Balgay,32
UKM2102004,Lochee West,33
UKM2102005,Riverside,34
UKM2102006,Brackens,35
UKM2102007,Ardler,36
UKM2102008,Balgowan,37
UKM2102009,Claverhouse,38
UKM2102010,Whitfield,39
UKM2102011,Longhaugh,40
UKM2102012,Pitkerro,41
UKM2102013,Douglas,42
UKM2102014,Barnhill,43
UKM2102015,Balgillo,44
UKM2102016,Broughty Ferry,45
UKM2102017,West Ferry,46
UKM2102018,Craigiebank,47
UKM2102019,Strathmartine,48
UKM2102020,Lochee East,49
UKM2102021,Tay Bridges,50
UKM2400006,Eyemouth and District North,51
UKM2400007,Kelso and District North,52
UKM2400008,Kelso Central,53
UKM2400009,Kelso and District South,54
UKM2400010,Jedburgh and District East,55
UKM2400011,Jedburgh and District West,56
UKM2400012,Hermitage,57
UKM2400013,Burnfoot and Mansfield,58
UKM2400014,Silverbuthall,59
UKM2400015,Weensland,60
UKM2400016,Teviot and Central,61
UKM2400017,Wilton,62
UKM2400018,Galawater and Lauderdale,63
UKM2400019,""Earlston, Gordon and District"",64
UKM2400020,Melrose and District,65
UKM2400021,Scott's View,66
UKM2400022,Alewater and Denholm,67
UKM2400023,Old Selkirk,68
UKM2400024,Forest,69
UKM2400025,Netherdale,70
UKM2400026,Lower Langlee and Tweedbank,71
UKM2400027,Upper Langlee and Ladhope,72
UKM2400028,Kilnknowe and Clovenfords,73
UKM2400029,Mossilee and Central,74
UKM2400030,Innerleithen and Walkerburn,75
UKM2400031,Peebles and District South,76
UKM2400032,Peebles and District East,77
UKM2400033,Peebles and Upper Tweed,78
UKM2400034,West Linton and District,79
UKM2500001,Balerno,80
UKM2500002,Baberton,81
UKM2500003,Dalmeny/Kirkliston,82
UKM2500004,Queensferry,83
UKM2500005,Cramond,84
UKM2500006,Davidson's Mains,85
UKM2500007,Muirhouse/Drylaw,86
UKM2500008,Craigleith,87
UKM2500009,Pilton,88
UKM2500010,Granton,89
UKM2500011,Trinity,90
UKM2500012,Newhaven,91
UKM2500013,East Craigs,92
UKM2500014,N.E. Corstorphine,93
UKM2500015,Murrayfield,94
UKM2500016,Dean,95
UKM2500017,Stockbridge,96
UKM2500018,New Town,97
UKM2500019,Broughton,98
UKM2500020,Calton,99
UKM2500021,Harbour,100
UKM2500022,Lorne,101
UKM2102022,Logie,102
UKM2102023,Law,103
UKM2102024,East Port,104
UKM2102025,Baxter Park,105
UKM2102026,Hilltown,106
UKM2102027,Bowbridge,107
UKM2102028,Stobswell,108
UKM2102029,Fairmuir,109
UKM2201001,Menstrie,110
UKM2201002,Alva North,111
UKM2500023,Gyle,112
UKM2201003,Alva South,113
UKM2500024,S.E. Corstorphine,114
UKM2201004,Tillicoultry West,115
UKM2500025,Parkhead,116
UKM2201005,Tillicoultry East,117
UKM2500026,Craiglockhart,118
UKM2201006,Dollar and Muckhart,119
UKM2500027,Stenhouse,120
UKM2201007,Devon and Clackmannan North,121
UKM2500028,Moat,122
UKM2201008,Clackmannan,123
UKM2500029,Shandon,124
UKM2201009,Gartmorn,125
UKM2500030,Dalry,126
UKM2201010,Alloa North,127
UKM2500031,Fountainbridge,128
UKM2201011,Alloa East,129
UKM2500032,Tollcross,130
UKM2201012,Alloa Mar,131
UKM2500033,Southside,132
UKM2201013,Alloa West,133
UKM2500034,Holyrood,134
UKM2201014,Alloa Claremont,135
UKM2500035,Meadowbank,136
UKM2201015,Fairfield,137
UKM2500036,Mountcastle,138
UKM2201016,Muirside,139
UKM2500037,Leith Links,140
UKM2201017,St Serf's,141
UKM2500038,Restalrig,142
UKM2201018,Delph and Cambus,143
UKM2500039,Portobello,144
UKM2202001,""Kincardine, Culross and Low Valleyfield"",145
UKM2500040,Milton,146
UKM2202002,""Blairhall, High Valleyfield and Torryburn"",147
UKM2500041,Murray Burn,148
UKM2202003,""Oakley, Saline and Steelend"",149
UKM2500042,Sighthill,150
UKM2202004,""Cairneyhill, Carnock and Milesmark"",151
UKM2500043,Colinton,152
UKM2202005,Crossford and Dunfermline Central,153
UKM2500044,Firrhill,154
UKM2202006,Baldridgeburn,155
UKM2500045,Merchiston,156
UKM2202007,Wellwood and Headwell,157
UKM2500046,North Morningside/Grange,158
UKM2202008,Townhill and Bellyeoman,159
UKM2500047,Marchmont,160
UKM2202009,Garvock and Carnegie,161
UKM2500048,Sciennes,162
UKM2202010,""Halbeath, Hill of Beath and Kingseat"",163
UKM2500049,Newington,164
UKM2202011,Woodmill,165
UKM2500050,Prestonfield,166
UKM2202012,Linburn,167
UKM2500051,South Morningside,168
UKM2202013,Brucefield and Nethertown,169
UKM2500052,Fairmilehead,170
UKM2202014,Pitcorthie,171
UKM2500053,Alnwickhill,172
UKM2202015,Limekilns and Pitreavie,173
