OBJECTID,NAME_TITLE,TOWN,DATEDESIGNATED,ReplacementUDPPlan,ReplacementUDPPolicyRef,CoreStrategyPlan,CoreStrategyPolicyRef,AREA_HECTARES
1,Standish,Standish,"02/04/76",,,Core Strategy (2013),CP11,8.904 ha
2,Mayflower,Standish,02/04/76,,,Core Strategy (2013),CP11,12.485 ha
3,Wigan Town Centre,Wigan,"25/08/80",,,Core Strategy (2013),CP11,11.061 ha
4,Golborne Town Centre,Golborne,20/12/89,,,Core Strategy (2013),CP11,4.540 ha
5,Howe Bridge,Atherton,"29/12/87",,,Core Strategy (2013),CP11,10.778 ha
6,Tyldesley Town Centre,Tyldesley,20/12/89,,,Core Strategy (2013),CP11,8.622 ha
7,Wigan Lane,Wigan,20/12/89,,,Core Strategy (2013),CP11,36.576 ha
8,Market Place,Atherton,20/12/89,,,Core Strategy (2013),CP11,1.706 ha
9,Church Lane,Shevington,27/04/88,,,Core Strategy (2013),CP11,2.667 ha
10,Park Road,Golborne,20/12/89,,,Core Strategy (2013),CP11,3.055 ha
11,Mesnes,Wigan,"25/08/80",,,Core Strategy (2013),CP11,18.461 ha
12,Astley Village,Tyldesley,20/12/89,,,Core Strategy (2013),CP11,12.647 ha
13,Wigan Pier,Wigan,25/03/87,,,Core Strategy (2013),CP11,20.286 ha
14,Pennington,Leigh,20/12/89,,,Core Strategy (2013),CP11,13.092 ha
15,Leigh Town Centre,Leigh,"24/06/81..",,,Core Strategy (2013),CP11,10.315 ha
16,Hindley Town Centre,Hindley,20/12/89,,,Core Strategy (2013),CP11,6.547 ha
17,Ashton in Makerfield Town Centre,Ashton in Makerfield,20/12/89,,,Core Strategy (2013),CP11,9.591 ha
18,Green Hill,Wigan,29/03/07,,,Core Strategy (2013),CP11,13.497 ha
19,Dicconson,Wigan,24/03/82,,,Core Strategy (2013),CP11,10.349 ha
20,Haigh Village,Haigh,02/04/76,,,Core Strategy (2013),CP11,39.049 ha
21,Bridgewater Canal,Leigh,25/05/94,,,Core Strategy (2013),CP11,24.883 ha
22,Leigh Bridge,Leigh,20/12/89,,,Core Strategy (2013),CP11,4.308 ha
23,Railway Road,Leigh,20/12/89,,,Core Strategy (2013),CP11,1.551 ha
