Date,Hour,LocationName,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount
31/01/2014,0,Briggate,Friday,2014,1,January,5,422
31/01/2014,0,Briggate at McDonalds ,Friday,2014,1,January,5,120
31/01/2014,0,Commercial Street at Lush,Friday,2014,1,January,5,48
31/01/2014,0,Commercial Street at Barratts,Friday,2014,1,January,5,72
31/01/2014,0,Headrow,Friday,2014,1,January,5,36
31/01/2014,0,Dortmund Square ,Friday,2014,1,January,5,87
31/01/2014,0,Albion Street South,Friday,2014,1,January,5,115
31/01/2014,0,Albion Street North,Friday,2014,1,January,5,30
31/01/2014,1,Briggate,Friday,2014,1,January,5,310
31/01/2014,1,Briggate at McDonalds ,Friday,2014,1,January,5,83
31/01/2014,1,Commercial Street at Lush,Friday,2014,1,January,5,13
31/01/2014,1,Commercial Street at Barratts,Friday,2014,1,January,5,30
31/01/2014,1,Headrow,Friday,2014,1,January,5,23
31/01/2014,1,Dortmund Square ,Friday,2014,1,January,5,54
31/01/2014,1,Albion Street South,Friday,2014,1,January,5,74
31/01/2014,1,Albion Street North,Friday,2014,1,January,5,20
31/01/2014,2,Briggate,Friday,2014,1,January,5,464
31/01/2014,2,Briggate at McDonalds ,Friday,2014,1,January,5,98
31/01/2014,2,Commercial Street at Lush,Friday,2014,1,January,5,28
31/01/2014,2,Commercial Street at Barratts,Friday,2014,1,January,5,34
31/01/2014,2,Headrow,Friday,2014,1,January,5,14
31/01/2014,2,Dortmund Square ,Friday,2014,1,January,5,57
31/01/2014,2,Albion Street South,Friday,2014,1,January,5,65
31/01/2014,2,Albion Street North,Friday,2014,1,January,5,16
31/01/2014,3,Briggate,Friday,2014,1,January,5,687
31/01/2014,3,Briggate at McDonalds ,Friday,2014,1,January,5,148
31/01/2014,3,Commercial Street at Lush,Friday,2014,1,January,5,21
31/01/2014,3,Commercial Street at Barratts,Friday,2014,1,January,5,38
31/01/2014,3,Headrow,Friday,2014,1,January,5,35
31/01/2014,3,Dortmund Square ,Friday,2014,1,January,5,27
31/01/2014,3,Albion Street South,Friday,2014,1,January,5,56
31/01/2014,3,Albion Street North,Friday,2014,1,January,5,10
31/01/2014,4,Briggate,Friday,2014,1,January,5,564
31/01/2014,4,Briggate at McDonalds ,Friday,2014,1,January,5,69
31/01/2014,4,Commercial Street at Lush,Friday,2014,1,January,5,12
31/01/2014,4,Commercial Street at Barratts,Friday,2014,1,January,5,51
31/01/2014,4,Headrow,Friday,2014,1,January,5,24
31/01/2014,4,Dortmund Square ,Friday,2014,1,January,5,0
31/01/2014,4,Albion Street South,Friday,2014,1,January,5,15
31/01/2014,4,Albion Street North,Friday,2014,1,January,5,2
31/01/2014,5,Briggate,Friday,2014,1,January,5,122
31/01/2014,5,Briggate at McDonalds ,Friday,2014,1,January,5,42
31/01/2014,5,Commercial Street at Lush,Friday,2014,1,January,5,35
31/01/2014,5,Commercial Street at Barratts,Friday,2014,1,January,5,52
31/01/2014,5,Headrow,Friday,2014,1,January,5,20
31/01/2014,5,Dortmund Square ,Friday,2014,1,January,5,6
31/01/2014,5,Albion Street South,Friday,2014,1,January,5,79
31/01/2014,5,Albion Street North,Friday,2014,1,January,5,23
31/01/2014,6,Briggate,Friday,2014,1,January,5,228
31/01/2014,6,Briggate at McDonalds ,Friday,2014,1,January,5,115
